If you enjoyed,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
Number plate recognition with Tensorflow,Conversational Banking; from branches to bots. - Chatbots Magazine,New Sessions Added To Google I/O 2016 Schedule,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company",Exclusive: Why Microsoft is betting its future on AI
Singapore bank wants you to talk to its chatbot to get your banking done,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,"The new, scary face of auto insurance",Digital Leadership Is Not an Optional Part of Being a CEO,VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,The new tech talent you need to succeed in digital
Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,Announcing .NET Core 1.0,"Microservices Reference Architecture, Part 4 -12‑Factor App",Beyond Progressive Web Apps Part 1,Chrome DevTools - Console API Reference,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC
Acquia Engage 2016: Day One,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Bringing Pokémon GO to life on Google Cloud,Meet Aquifer: A build system for easier Drupal development,A plan for media management in Drupal 8,Drupal 8.1.0 is now available
Accept questions from your audience when presenting in Google Slides,7 lessons about finding the work you were meant to do,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Ordering coffee in Italy: the 10 commandments,Staying one step ahead at Pixar: An interview with Ed Catmull
Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One,A Baseline for Hybrid Mobile Developers,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,CSS Containment in Chrome 52 | Web Updates - Google Developers
Concurso Literário Leia Mulheres + Sweek | Sweek,Promoting gender equality through emoji �� ��,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia","""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Put a ring on it: three smart rings with plenty of beauty and brains
Google's Cloud Machine Learning service is now in public beta,The emerging Darwinian approach to analytics and augmented intelligence,Graph-powered Machine Learning at Google,Services | RaRe Technologies,Machine Learning Is No Longer Just for Experts,Generative Models
Xamarin for Everyone,Modelando APIs REST com Swagger,The Ultimate Solution to Versioning REST APIs: Content Negotiation,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Desenvolvimento Efetivo na Plataforma Microsoft: o livro.,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,I've got standards - which one do you want? [UPDATE 5 APRIL 2016],Why your wallet is becoming the next platform
Berners-Lee quer criar outra Web,Clean Coder Blog,Anti-If: The missing patterns,Alecrim/AlecrimCoreData,Programming by poking: why MIT stopped teaching SICP,New MacBook Pro is not a Laptop for Developers Anymore
4 Reasons Managers Should Spend More Time on Coaching,Investimentos em coaching e mentoring aumentam nas empresas,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
15 Awesome Sublime Text Plugins For Web Development,TypeScript 2.0 is now available!,O WhatsApp do Google chegou e se chama Allo,The Progress of Web Apps - On the Edge,Google releases keyboard for the iPhone with built-in search features,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card"
An Introduction to Elasticsearch Aggregations,Terms Aggregation in Elastic Search,Why Deep Learning Is Suddenly Changing Your Life,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",O RH chega ao board,Amazon has a huge opportunity in grocery delivery
Olhando para o futuro: 5 pontos de atenção,E os vencedores do Latam Founders Awards 2016 são... - Startupi,Nubank e Goldman fecham parceria de R$ 200 milhões,Bradesco lança serviço inédito para estimular o hábito de poupar,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO",Uso de API's no mercado de serviços financeiros
Why Evernote Is Giving Up on Its Data Centers for Google Cloud,New settings for 2-Step Verification,Get ready for Google I/O 2016,Apache Spark 2.0 Preview: Machine Learning Model Persistence,Are Chatbots Really The Future Of Web Design?,Artificial intelligence is changing SEO faster than you think
Bash on Ubuntu on Windows - Download Now!,"Largest botnet attack in history peaks at over 1 terabits per second, aided by Internet of Things",Conheça 20 atletas LGBT que vão competir nas Olimpíadas do Rio,Android Studio 2.0 | Android Developers Blog,Introducing Ask a Female Engineer,Este site quer conectar profissionais trans e travestis a empresas que não têm preconceito
The technology behind preview photos,Lady Gaga's startup Backplane burns out and sells assets,Evernote anuncia integração com Google Drive | Google Discovery,Top 5 GCP NEXT breakout sessions on YouTube (so far),A Googler analyzed a billion files to settle the programming dispute made famous by HBO's 'Silicon Valley',"[Tools] Personal Kanban in ""Favro"""
Mobify report reveals impact of mobile website speed,Falling for Web Components,Things you probably didn't know you could do with Chrome's Developer Console,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Black Friday salva o ano do e-commerce,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
"No Brasil, '25% dos celulares ainda são 'Burrofones'",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,In defense of the Uber-ization of everything,Amazon has a huge opportunity in grocery delivery,The Rise And Growth of Ethereum Gets Mainstream Coverage,"""Consultorias promovem a desvalorização do nosso negócio"" - Meio & Mensagem"
Nova pulseira tecnológica avisa se você já bebeu demais,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Put a ring on it: three smart rings with plenty of beauty and brains,"STEMTera, uma protoboard com Arduino Uno embutido","""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES
Walmart compra startup para brigar com Amazon | EXAME.com,America's allies are preparing for a bumpy ride,Five things to include in your digital transformation playbook,Carrefour começa a operar e-commerce no Brasil | EXAME.com,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,"SpaceNet satellite imagery repository launched by DigitalGlobe, CosmiQ Works and NVIDIA on AWS"
Google DeepMind Is Now Analysing Magic And Hearthstone Cards,Why Is Learning Drupal Hard?,Deep Learning Demystified,One year as a Data Scientist at Stack Overflow,Omnitone: Spatial audio on the web,Big data's 'streetlight effect': where and how we look affects what we see
Adopting Open Source Development Processes in Corporate IT,O início problemático dos chatbots no Facebook Messenger,Por que o Walmart não é Walmart no Brasil,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Marketplace,Why Walmart wants to buy Jet.com and what you need to know about the potential deal
[PayPal] Postos Shell adotam pagamento no smartphone,"[Tools] Free Business Video Conference with Screen Sharing, Permanent Room",Sony Smart Tennis Sensor for Tennis Rackets,[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,[E-learning] Design Thinking for Innovation - University of Virginia | Coursera,[Videos] Bill Gross: The single biggest reason why startups succeed
RecyclerView Prefetch - Google Developers,Building interfaces with ConstraintLayout - Google Developers,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,"Fresco, sim! - Android Dev BR",Announcing updates to Google's Internet of Things platform: Android Things and Weave,Adulterated Objective-C
Falling for Web Components,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Mercado de Cosméticos no Brasil - Setor que não conhece crise!,Black Friday salva o ano do e-commerce,Dafiti registra alto crescimento no 1º semestre de 2016,"Why Performance Matters, Part 1: The Perception Of Time - Smashing Magazine"
"Android N Developer Preview 2, out today! | Android Developers Blog",Sesi oferece curso de LIBRAS com certificação de 40 horas,"ConstraintLayout, Inside and Out: Part 2",Android Quickstart - Firebase,Governo busca empresas para aprimorar Internet das Coisas no Brasil,[Teste] Quer saber como está seu português? - Runrun.it Blog
"Bots need a personality, not a brain like a vending machine",What the future will look like when we use chatbots instead of apps,New APIs Expand Line's Third Party Integration and Chatbot Capabilities,Can virtual reality revolutionise education?,Dial in with ease using the latest Google Calendar app for Android,Operator fuses bots with humans to build cyborg shopping experts
Banking Needs a Customer Experience Wake-Up Call,Confused by blockchains? Revolution vs Evolution,How Blockchain Technology Can Improve the Insurance Industry,Why your wallet is becoming the next platform,I've got standards - which one do you want? [UPDATE 5 APRIL 2016],Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais
Criador do Ubuntu diz que o sistema soluciona o problema de segurança na Internet das Coisas,"Projeto Ara, o smartphone modular do Google, pode chegar ao mercado em 2017 | Google Discovery",Embed charts from Google Sheets in Google Docs and Slides and update them with a single click,New ways to keep data flowing between your apps and ours,Google moves to replace Flash with HTML5,"Finding an apartment to rent is as easy as hitting ""Send"" with Trulia's new Facebook Messenger bot"
Physicists have discovered what makes neural networks so extraordinarily powerful,The emerging Darwinian approach to analytics and augmented intelligence,Generative Models,Exclusive: Why Microsoft is betting its future on AI,AI Revolution 101 - AI Revolution,New Sessions Added To Google I/O 2016 Schedule
Vídeo: IntraEmpreendedorismo como Atitude pelos Funcionários e Chefes!,3M e o perfil intraempreendedor | Endeavor Brasil,6 New Tech Gadgets That Will Simplify Your Life in 2017,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Veja como funciona o assistente da Adobe que faz edições com comandos de voz,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi
Big data's 'streetlight effect': where and how we look affects what we see,One year as a Data Scientist at Stack Overflow,Graphene and Silly Putty Creates a Super-Sensitive Strain Sensor,Writing good code: how to reduce the cognitive load of your code,Bridging the Communication Gap Between Developers and Architects - DaedTech,Aplicação de visão computacional com OpenCV
"Within a Decade, Retail Banks will be Dead",8 things to expect from Google's biggest event of the year,"Cheap, Rugged Sweat-Sensing Skin Patch Hints at Bloodless Testing",Grow fast or die slow: Focusing on customer success to drive growth,Twitter adds a button to help you train its algorithm,Here's proof that Google is getting serious about battling Facebook in a key area
Good Software Takes Ten Years. Get Used To it.,"Inbox by Gmail now helps you track calendar events, save links and stay on top of newsletters",5 reasons your employees aren't sharing their knowledge,Wide & Deep Learning: Better Together with TensorFlow,"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com
"Agility in the Cloud: Which ""As a Service"" Works for You?",This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,Writing good code: how to reduce the cognitive load of your code,Perfect Menu for Mobile Apps - UX Planet,Today in Apple history: Steve Jobs passes away | Cult of Mac,Desenvolvimento de Aplicativos Mobile com Xamarin -
Itaú é pioneiro do blockchain,Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Google e GFT firmam parceria para testes com foco em blockchain - Startupi,Blockchain won't kill banks: Bitcoin pioneer,"Elopar lança o ""Digio"", cartão para brigar com Nubank"
"Facebook Workplace officially launches on the web and iOS, set to compete head-on with Slack",Apple is working on an AI system that wipes the floor with Google and everyone else,"Deep-learning algorithm predicts photos' memorability at ""near-human"" levels","Dag Kittlaus, co-founder of Siri, will give the world's first demo of a next gen AI called Viv at Disrupt NY",Ordering coffee in Italy: the 10 commandments,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
"E quando o cliente diz ""Não gostei""?",How Inflation Is Stealing Your Money: Can Cryptocurrency Solve Inflation on a Global Scale?,Meet the man behind the rise of bots and our AI-driven future,New blog from Dries: How should you decouple Drupal?,Designer Creates 13 Perfect Circles to Draw Almost Any Animal,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog
Object calisthenics: Change the way you code,What's the Version of my Deployed Application? - DZone DevOps,"Incrível, Skype se lembrou que o Linux existe!",Automate Docker with the Remote API and Ruby,"Kotlin in Production - What works, Whats broken",AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment
Visual C++ for Linux Development,"Android N Developer Preview 2, out today! | Android Developers Blog",Sesi oferece curso de LIBRAS com certificação de 40 horas,Android Quickstart - Firebase,The 7 Coolest Virtual Reality Experiences Made with Hololens So Far,"ConstraintLayout, Inside and Out: Part 2"
Funcionários do mês no CoolHow: os Slackbots - CoolHow Creative Lab,The AI business landscape,Threaded messaging is coming to Slack,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds","Here's what Viv looks like, the next generation AI assistant built by Siri creator",TechCrunch launches a personalized news recommendations bot on Facebook Messenger
Promises | Web Fundamentals - Google Developers,Effective learning through code workshops | Box Blog,The Business Case for Progressive Web Apps,Prototypal Object-Oriented Programming using JavaScript,Scrum Community - Scrum Alliance,19 Tips For Everyday Git Use
Aposta na inovação,What Millennials Want from a New Job,Google HR chief Laszlo Bock leaving to launch startup,"Terrapattern is reverse image search for maps, powered by a neural network","contentId
7078276984547732873    How Companies Are Using Machine Learning to Ge...
7078276984547732873    How Companies Are Using Machine Learning to Ge...
Name: title, dtype: object","""Não, você não aceita a homossexualidade ainda..."""
Windows Subsystem for Linux Overview,4 Blockchain Macro Trends: Where to Place Your Bets,"GitHub broke my 1,000 day streak - Free Code Camp",Jenkins 2.0 is here!,Dries Buytaert: Advancing Drupal's web services,Artificial intelligence is hard to see
Soylent's new drink will replace your breakfast and morning coffee,What Business Leaders Should Know About Swift,"ConstraintLayout, Inside and Out: Part 1",Firebase Test Lab for Android,Using DiffUtil in Android RecyclerView,Google Expands Android Pay APIs
The Most Important Push Notification metric - Growth Bug - App World,Support Ended for Eclipse Android Developer Tools,Scott Penrose: Arduino Static Strings,How to send better push notifications - the complete guide to push notifications - Growth Bug - App World,The Rise And Growth of Ethereum Gets Mainstream Coverage,Facebook's Artificial Intelligence Research lab releases open source fastText on GitHub
"Shuddle, the Uber-like service for getting your kids around, is shutting down tomorrow","Amazon open-sources its own deep learning software, DSSTNE",The emerging Darwinian approach to analytics and augmented intelligence,Exclusive: Why Microsoft is betting its future on AI,New Sessions Added To Google I/O 2016 Schedule,Generative Models
7 Vital SEO Trends for Google Rankings in 2017 | Digital Current,Tracking Multiple Categories in Google Analytics for Content Pages - E-Nor | Google Analytics Blog,Introduction · Bitcoin para Programadores,Adobe Announces Cross-Device Co-op to Enable People-Based Marketing,How Coca-Cola Is Harvesting Innovation Energy From Startups,Campus São Paulo: conheça a primeira turma do Programa de Residentes
Microsoft Accelerator startup DefinedCrowd connects machine learning with native speakers,"Inside OpenAI, Elon Musk's Wild Plan to Set Artificial Intelligence Free",The return of the machinery question,Finding The Meaning Of Artificial Intelligence At Google I/O,Artificial intelligence is changing SEO faster than you think,Corporate Intrapreneur Summit
"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit",Nubank pode fechar as portas se BC confirmar mudança amanhã,Bitcoin In The Time Of Negative Interest Rates,American Express ... and the Book of Mormon - Chris Skinner's blog,"contentId
-4975645025178552956    Sem Parar vs Conectcar - DanBP.org
-4975645025178552956                Sem Parar vs Conectcar
Name: title, dtype: object",Parceria entre Paypal e Mastercard firmada!
Novidades do Android Studio 2.2,[PayPal] Postos Shell adotam pagamento no smartphone,Sony Smart Tennis Sensor for Tennis Rackets,"ProtoHack, hackathon criado no Vale do Silício, desembarca em São Paulo para sua primeira edição no espaço Engenho Maker - Startupi",[Free Course] Running Valuable Design Sprints - University of Virginia | Coursera,Presenting to the Boss(es) | Pluralsight
"3 Industries That Will Be Transformed By AI, Machine Learning And Big Data In The Next Decade",Machines are learning to find concealed weapons in x-ray scans,Deep Learning AI for NASA Powers Earth Robots,Primeiro chatbot do varejo brasileiro no Facebook Messenger já está funcionando - Startupi,[Books] Biblioteca FIXE: Sugestões de Leitura,"Hands-on: Google Assistant's Allo chatbot outdoes Cortana, Siri as your digital pal"
Dasa multiplica lucro em 6 vezes no terceiro trimestre,Sophia Genetics chega à América Latina para democratizar a Data-Driven Medicine,"Automatic lays off 28% of its workforce, aims for profitability in 2017",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,The Real Product Market Fit,The omnichannel customer experience is poised to take off in regulated industries
Here's How L'Oréal Plans To Continue Its Digital Innovation,Conselho da SABMiller aceita proposta de compra da AB InBev,Meet the new Brazilian consumer,"Automatic lays off 28% of its workforce, aims for profitability in 2017","Vale reverte prejuízo e tem lucro de R$ 1,8 bilhão no 3º trimestre",Dasa multiplica lucro em 6 vezes no terceiro trimestre
Why Walmart wants to buy Jet.com and what you need to know about the potential deal,Walmart compra startup para brigar com Amazon | EXAME.com,America's allies are preparing for a bumpy ride,Carrefour começa a operar e-commerce no Brasil | EXAME.com,Five things to include in your digital transformation playbook,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together
WebAssembly Browser Preview,Infrequently Noted,The Progress of Web Apps - On the Edge,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card",React Native v0.32.0-rc.0 released,Gmail e Inbox by Gmail terão suporte a e-mails com design responsivo | Google Discovery
Adobe CQ/Adobe AEM,Workspace Filter,Configuring OSGi,AEM 6.1 Package Manager Metadata Files,Live Event: Unveiling the GitLab Master Plan,How to Install and Use the Linux Bash Shell on Windows 10
When to make a Git Commit,Debugging WordPress: 11 Powerful Tips and Techniques,ConstraintLayout - Part 1,Readable Content Guides,Sam Newman - Backends For Frontends,Dries Buytaert
What the Google I/O schedule tells us about the future of Android,"Google I/O: Expect A.I., virtual reality","Bots, Messenger and the future of customer service",What SWAG will Google I/O 2016 attendees take home?,Google may unveil Android VR headset at I/O conference,Why Steve Jobs Was Proud to Steal Ideas
Shutter Island (2010),Inception (2010),A New Number Format for Computers Could Nuke Approximation Errors for Good,7 lessons about finding the work you were meant to do,Nashorn: JavaScript made great in Java 8,The best-and worst-places to be a working woman
Restb.ai: Why custom computer vision as a service makes sense | ZDNet,Using TensorFlow and JupyterHub in Classrooms,The AI business landscape,8 things to expect from Google's biggest event of the year,Google's official Project Wing logo revealed,These gloves can convert sign language into spoken English
"Kotlin in Production - What works, Whats broken",Combining Spring Boot and JDBI,How Kotlin became our primary language for Android - UPTech Team,Introduction to Spring REST Docs | Baeldung,Introducing Kotlin support in Spring Framework 5.0,Taking Microservices Home - NGINX
"IBM e Visa transformam automóveis, eletrodomésticos e outros dispositivos conectados em potenciais pontos de vendas",How Mobile Health Apps and Wearables Could Actually Make People Sicker,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,"9 trends you need to watch at CES 2017, from 'AI' assistants to 'AR' devices",Elastic Stack 5.0.0 Released,Introducing Goals in Google Calendar on Android and iPhone
Sons de animais na busca do Google | Google Discovery,"Meet Parsey's Cousins: Syntax for 40 languages, plus new SyntaxNet capabilities",Graph-powered Machine Learning at Google,Tensorflow wins,Deep learning software knows that a rose is a rose is a rosa rubiginosa,New Sessions Added To Google I/O 2016 Schedule
Apple Has Created 'Detailed Mockups' of iMessage for Android,How Green Was My Valley (1941),"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Ordering coffee in Italy: the 10 commandments,Joel on Software,To bot or not to bot
How Technology Hijacks People's Minds - from a Magician and Google's Design Ethicist - The Startup,LOGOBR School | Behance Reviews Campinas 2016,Visa inaugura Co-Creation Center em São Paulo,Motion with Meaning: Semantic Animation in Interface Design,A identidade visual de Budapeste para as Olimpíadas de 2024,Prototyping across borders - From Tulsa to Brazil - +Acumen
"Automatic lays off 28% of its workforce, aims for profitability in 2017",Dasa multiplica lucro em 6 vezes no terceiro trimestre,Don Tapscott: How the blockchain is changing money and business,Introducing New Relic Infrastructure,Where accountability really matters,Here's How L'Oréal Plans To Continue Its Digital Innovation
"Microsoft adquire LinkedIn por US$ 26,2 bilhões",Accept questions from your audience when presenting in Google Slides,Inception (2010),7 lessons about finding the work you were meant to do,Staying one step ahead at Pixar: An interview with Ed Catmull,"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy"
Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers,Python Eats Into R as SAS Dominance Fades,"diagramas para entender, criar, inovar e empreender: 3","Three cultures, three continents and three lessons on leadership",B2B Ecommerce Growing; Becoming More Like B2C,The Death of Drupal Commerce as an Ecommerce Solution - Third & Grove
Dark Scrum,Readable Content Guides,Post: Just Say mNo to Hungarian Notation,Sam Newman - Backends For Frontends,Alecrim/AlecrimCoreData,So long MVP. Hello Minimum Loveable Product.
How a Chatbot Helped This Vinyl Records Startup Make $1 Million in 8 Months,The gig economy as a driver of innovation,Introducing JQL: A Query Language for Analytics,Conversational Banking; from branches to bots. - Chatbots Magazine,Whirlpool Vessi puts a microbrewery in your kitchen | News | Geek.com,Skill swarms - a new way to share expertise and work smarter together - Skillhive
Revista PROGRAMAR nº 53 - Agosto de 2016,What the JIT!? Anatomy of the OpenJDK HotSpot VM,Sesi oferece curso de LIBRAS com certificação de 40 horas,"Android N Developer Preview 2, out today! | Android Developers Blog",Lady Gaga's startup Backplane burns out and sells assets,Android Quickstart - Firebase
Where accountability really matters,"Automatic lays off 28% of its workforce, aims for profitability in 2017",Startups apostam em aplicativos que conectam fretes e caminhoneiros,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets,Ultrapar aprova investimento adicional de R$ 196 milhões para a Ipiranga,Here's How L'Oréal Plans To Continue Its Digital Innovation
Announcing new storage classes for Google Cloud Storage: simplifying the storage and management of hot and cold data,Para inovar é preciso mais do que boas ideias - Startupi,Introducing Google Cloud Shell's new code editor,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,Introducing Cloud Spanner: a global database service for mission-critical applications,Apple e Google querem que você pague por assinatura em apps
Creating Your Code Review Checklist - DaedTech,The Importance of Code Reviews,AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,AWS Certified Solutions Architect Professional – Study Guide – Domain 6.0: Security (20%)
